in01	in02	in03	in04	in05	in06	in07	in08	in09	in10	in11	in12	in13	in14	in15	in16	in17	Class
white	0.0048	0.09	0.03	0.01	7.4	0.17	0.29	very low	0.047	23	107	0.9939	3.52	0.65	med	21.5	no
white	0.0036	0.1	0.04	0.06	7.2	0.27	0.37	med	0.026	27	114	0.99174	3.13	0.84	standard	26.42	no
red	0.048	0.59	0.28	0.12	5.6	0.31	0.37	very low	0.074	12	96	0.9954	3.32	0.58	low	37.82	no
white	0.0034	0.02	0.04	0.05	6.4	0.3	0.38	sweet	0.046	35	192	0.9955	3.1	0.37	low	25.42	no
red	0.068	0.11	0.42	0.3	6.7	0.46	0.24	very low	0.077	18	34	0.9948	3.39	0.6	med	18.52	no
white	0.0025	0.06	0.08	0.05	7.1	0.21	0.27	very sweet	0.056	26	111	0.9956	2.95	0.52	low	27.27	no
white	0.0093	0.04	0.07	0.03	6.8	0.23	0.29	very sweet	0.035	38	236	0.9976	3.35	0.52	low	14.96	no
white	0.0052	0.08	0.01	0.02	8.8	0.2	0.28	very low	0.018	18	72	0.9926	2.97	0.35	med	27.84	no
red	0.057	0.1	0.14	0.41	8.5	0.34	0.44	very low	0.079	6	12	0.99605	3.52	0.63	med	36.39	no
white	0.0076	0.01	0.06	0.01	6.8	0.37	0.28	med	0.03	29	79	0.99	3.23	0.46	standard	16.61	yes
white	4e-4	0.02	0.04	0.04	6.9	0.38	0.38	very sweet	0.112	14	94	0.99792	3.02	0.48	low	13.52	no
white	7e-4	0.1	0.02	0.05	7.7	0.26	0.4	very low	0.042	9	60	0.9915	2.89	0.5	med	25.4	no
white	4e-4	0.1	0.07	0.01	7.6	0.25	0.34	very low	0.056	34	176	0.99434	3.1	0.51	low	13.23	no
white	0.0062	0.08	0.06	0.04	7	0.14	0.49	med	0.053	22	118	0.9954	3.36	0.36	low	12.64	no
white	8e-4	0.05	0.03	0.04	7.1	0.34	0.31	med	0.032	36	140	0.99166	3.35	0.47	standard	14.99	yes
white	0.0054	0.04	0.03	0.02	5.2	0.405	0.15	very low	0.038	10	44	0.99125	3.52	0.4	standard	12.09	no
white	0.004	0.01	0.01	0.02	8	0.3	0.28	med	0.044	31	124	0.9948	3.16	0.51	med	20.26	no
white	0.0062	0.04	0.01	0.05	7.4	0.25	0.37	sweet	0.02	14	93	0.9939	3	0.48	med	20.5	yes
white	0.0011	0.06	0.08	0.04	7.4	0.34	0.42	very low	0.033	17	171	0.9917	3.12	0.53	med	12.18	no
white	0.0028	0.01	0.06	0.06	8.2	0.27	0.43	very low	0.035	31	128	0.9916	3.1	0.5	standard	27.35	no
white	5e-4	0.08	0.02	0.06	6	0.21	0.3	very sweet	0.036	47	127	0.99368	3.18	0.39	med	24.26	no
white	0.009	0.03	0.02	0.02	6.2	0.34	0.28	sweet	0.034	40	197	0.99485	3.14	0.6	low	24.05	no
red	0.05	0.81	0.11	0.15	15.9	0.36	0.65	sweet	0.096	22	71	0.9976	2.98	0.84	high	11.48	no
white	0.0058	0.03	0.01	0.06	7	0.24	0.3	med	0.04	41	213	0.9927	3.28	0.49	standard	28.74	no
white	0.0072	0.08	0.01	0.01	7.9	0.21	0.4	very low	0.039	38	107	0.992	3.21	0.54	med	28.95	no
white	0.0073	0.1	0.05	0.06	9.4	0.28	0.3	very low	0.045	36	139	0.99534	3.11	0.49	low	28.36	no
red	0.062	0.1	0.61	0.1	10.5	0.28	0.51	very low	0.08	10	24	0.9982	3.2	0.89	low	19.79	no
white	0.006	0.01	0.01	0.02	7.6	0.2	0.3	very sweet	0.056	53	212	0.999	3.14	0.46	low	22.41	yes
white	0.0041	0.06	0.08	0.02	7.5	0.27	0.36	sweet	0.036	45	164	0.9939	3.03	0.33	med	12.14	no
red	0.048	0.1	0.3	0.44	7.3	0.38	0.21	low	0.08	7	35	0.9961	3.33	0.47	low	25.57	no
white	0.0089	0.03	0.05	0.05	6.4	0.32	0.35	med	0.03	34	101	0.9912	3.36	0.6	standard	15.8	yes
white	0.0099	0.05	0.02	0.03	7.5	0.33	0.39	very sweet	0.065	29	119	0.9974	3.16	0.39	low	26	no
red	0.038	0.14	0.25	0.4	6.2	0.64	0.09	low	0.081	15	26	0.99538	3.57	0.63	standard	16.19	no
white	0.0083	0.05	0.01	0.01	5.8	0.34	0.21	sweet	0.04	50	167	0.9941	3.29	0.62	med	28.76	no
white	4e-4	0.1	0.03	0.06	6.2	0.35	0.2	very sweet	0.069	33	158	0.99908	3.15	0.5	low	20.92	no
white	0.0095	0.03	0.05	0.02	6.8	0.21	0.55	very sweet	0.053	34	159	0.99805	2.93	0.44	low	22.7	no
white	0.007	0.04	0.01	0.05	5.1	0.52	0.06	low	0.052	30	79	0.9932	3.32	0.43	low	22.78	no
white	0.0038	0.03	0.01	0.02	6.6	0.22	0.23	very sweet	0.047	37	118	0.99906	3.08	0.46	low	22.69	no
white	0.0057	0.01	0.02	0.04	6.6	0.27	0.3	very low	0.025	14	153	0.9928	3.29	0.62	med	23.65	no
white	2e-4	0.07	0.06	0.05	6.8	0.23	0.32	very sweet	0.046	47	159	0.99452	3.08	0.52	med	13.08	no
white	0.0029	0.04	0.04	0.05	5.7	0.4	0.35	med	0.026	17	113	0.99052	3.18	0.67	standard	13.2	no
white	0.0022	0.05	0.06	0.02	5.1	0.29	0.28	very sweet	0.026	27	107	0.99308	3.36	0.37	med	24.97	no
red	0.069	0.43	0.12	0.28	10	0.26	0.54	very low	0.083	42	74	0.99451	2.98	0.63	standard	37.61	yes
red	0.046	0.12	0.11	0.18	7.2	0.39	0.32	very low	0.065	34	60	0.99714	3.46	0.78	low	37.14	no
white	0.0019	0.1	0.04	0.01	6.6	0.42	0.13	very sweet	0.044	26	158	0.99772	3.24	0.47	low	16.22	no
white	0.0074	0.06	0.01	0.02	7.2	0.18	0.41	very low	0.048	41	97	0.9919	3.14	0.45	med	14.68	no
white	0.0075	0.07	0.01	0.04	6.9	0.2	0.41	very low	0.06	36	104	0.99317	2.99	0.39	low	29.65	no
white	0.0079	0.04	0.04	0.06	6.5	0.26	0.5	very sweet	0.051	46	197	0.99536	3.18	0.47	low	15.84	no
red	0.065	0.4	0.3	0.28	7.9	0.69	0.21	low	0.08	33	141	0.9962	3.25	0.51	low	14.8	no
red	0.05	0.75	0.31	0.11	7.3	0.91	0.1	very low	0.074	20	56	0.99672	3.35	0.56	low	14.31	no
white	0.0089	0.09	0.02	0.05	6.8	0.25	0.28	med	0.035	42	126	0.99048	3.12	0.38	standard	23.13	yes
white	0.0019	0.05	0.02	0.06	7.1	0.31	0.47	very sweet	0.056	54	197	0.9978	3.1	0.49	low	21.61	no
white	0.0065	0.08	0.03	0.01	6.7	0.3	0.29	low	0.025	37	107	0.99159	3.31	0.63	med	14.97	yes
white	0.0021	0.06	0.03	0.01	7.6	0.27	0.24	low	0.058	19	115	0.9958	3.15	0.45	low	18.19	no
white	0.0015	0.01	0.02	0.02	6.6	0.21	0.29	med	0.029	43	106	0.99112	2.93	0.43	standard	12.49	yes
white	0.0029	0.1	0.02	0.03	7.2	0.29	0.53	very sweet	0.047	59	182	0.9992	3.09	0.52	low	16.33	no
white	0.0062	0.01	0.06	0.03	6.6	0.16	0.21	sweet	0.055	43	157	0.99384	3.15	0.52	med	23.14	no
white	0.0017	0.09	0.04	0.06	7.4	0.35	0.24	sweet	0.042	28	123	0.99304	3.14	0.44	med	15.52	no
red	0.049	0.65	0.3	0.44	10.8	0.32	0.44	very low	0.063	16	37	0.9985	3.22	0.78	med	46.78	no
red	0.051	0.29	0.23	0.14	7.3	0.65	0	very low	0.065	15	21	0.9946	3.39	0.47	med	43.37	yes
white	9e-4	0.06	0.06	0.03	6.5	0.32	0.12	very sweet	0.033	35	165	0.9974	3.22	0.32	low	21.06	no
white	0.0035	0.04	0.06	0.02	6.2	0.23	0.23	very low	0.018	18	128	0.99178	3.05	0.28	med	14.84	no
red	0.038	0.81	0.21	0.31	6.1	0.34	0.25	very low	0.084	4	28	0.99464	3.36	0.44	med	17.79	no
white	0.0012	0.05	0.06	0.06	7.4	0.22	0.26	very sweet	0.027	23	112	0.9931	2.98	0.41	med	14.99	no
white	0.0045	0.07	0.05	0.03	6.4	0.25	0.41	very sweet	0.042	57	173	0.9965	3	0.44	low	26.23	no
white	0.0079	0.02	0.08	0.01	6.7	0.25	0.26	very sweet	0.06	50	156	0.99784	3.39	0.46	low	25.32	no
red	0.053	0.27	0.55	0.36	9.1	0.66	0.15	low	0.097	9	59	0.99976	3.28	0.54	low	22.32	no
red	0.046	0.76	0.51	0.43	7.2	0.34	0.24	low	0.071	30	52	0.99576	3.44	0.58	med	47.11	no
white	0.0014	0.05	0.07	0.03	9.9	0.49	0.23	low	0.087	19	115	0.9948	2.77	0.44	low	14.29	no
red	0.067	0.12	0.26	0.27	11.5	0.3	0.6	low	0.067	12	27	0.9981	3.11	0.97	med	49.25	no
white	0.0048	0.07	0.05	0.03	8	0.22	0.42	very sweet	0.044	45	163	1.0003	3.21	0.69	low	25.11	yes
white	0.0018	0.01	0.01	0.04	8	0.3	0.49	very sweet	0.046	47	188	0.9964	3.14	0.48	med	14.89	no
white	0.0096	0.07	0.08	0.06	6.1	0.16	0.24	very low	0.046	17	77	0.99319	3.66	0.57	med	23.59	no
white	0.0081	0.01	0.03	0.02	6.4	0.26	0.35	sweet	0.056	45	191	0.99527	3.16	0.5	low	21.14	no
red	0.064	0.44	0.35	0.39	6.7	0.46	0.24	very low	0.077	18	34	0.9948	3.39	0.6	med	39.98	no
white	9e-4	0.05	0.07	0.03	6.6	0.34	0.34	low	0.051	40	210	0.99314	3.15	0.61	med	25.38	no
white	0.0075	0.06	0.06	0.03	6	0.26	0.24	very low	0.053	66	150	0.9924	3.21	0.62	med	12.52	no
white	0.0014	0.04	0.01	0.05	6.8	0.18	0.3	very sweet	0.062	19	171	0.99808	3	0.52	low	23.03	yes
white	0.0044	0.02	0.07	0.05	5.8	0.6	0	very low	0.044	72	197	0.99202	3.56	0.43	med	21.31	no
white	7e-4	0.06	0.06	0.03	5.7	0.18	0.36	very low	0.046	9	71	0.99199	3.7	0.68	med	25.34	yes
white	0.0035	0.05	0.03	0.01	7.5	0.23	0.68	very sweet	0.047	37	133	0.9978	2.99	0.38	low	16.89	no
white	0.0051	0.03	0.05	0.02	5.8	0.26	0.29	very low	0.042	35	101	0.99044	3.36	0.48	med	13.42	yes
red	0.043	0.13	0.61	0.18	9	0.46	0.23	low	0.092	28	104	0.9983	3.1	0.56	low	28.47	no
white	0.0071	0.09	0.01	0.06	7.4	0.18	0.31	very low	0.058	38	167	0.9931	3.16	0.53	med	16.01	yes
white	8e-4	0.03	0.03	0.05	5.8	0.27	0.22	very sweet	0.058	42	206	0.9946	3.32	0.38	standard	12.77	no
white	4e-4	0.05	0.01	0.04	6.6	0.38	0.15	med	0.044	25	78	0.9931	3.11	0.38	med	26.98	no
white	0.0086	0.1	0.03	0.06	6.1	0.27	0.33	low	0.021	26	117	0.9886	3.12	0.3	standard	28.07	no
white	0.0039	0.02	0.01	0.04	6.5	0.22	0.25	very sweet	0.05	44	138	1.0001	3.3	0.37	low	15.4	no
red	0.035	0.1	0.36	0.19	11.5	0.45	0.5	low	0.078	19	47	1.0003	3.26	1.11	med	29.94	no
red	0.056	0.5	0.2	0.44	8.5	0.37	0.32	very low	0.066	26	51	0.99456	3.38	0.72	standard	29.43	no
white	0.0039	0.07	0.04	0.05	6.3	0.2	0.24	very low	0.052	36	135	0.99374	3.8	0.66	med	29.89	no
white	0.0038	0.09	0.02	0.03	8.1	0.31	0.24	very low	0.032	10	67	0.9924	3.08	0.47	med	21.04	no
white	0.0048	0.09	0.03	0.03	6.6	0.28	0.09	very sweet	0.051	37	131	0.99566	2.93	0.62	low	13.87	no
white	0.0025	0.04	0.06	0.02	5	0.27	0.32	med	0.032	58	178	0.98956	3.45	0.31	standard	28.25	yes
white	0.0048	0.04	0.02	0.03	7.2	0.19	0.31	very low	0.046	37	135	0.9939	3.34	0.57	med	25.07	yes
white	0.0013	0.04	0.06	0.03	6.2	0.44	0.18	sweet	0.096	28	210	0.99771	3.56	0.72	low	20.37	no
white	0.0025	0.09	0.06	0.05	8.3	0.28	0.45	sweet	0.059	32	139	0.9972	3.33	0.77	med	29.35	no
white	0.0085	0.02	0.05	0.02	6.2	0.25	0.42	very sweet	0.049	53	206	0.99586	3.16	0.47	low	23.71	no
red	0.062	0.42	0.31	0.18	6.8	0.49	0.22	low	0.071	13	24	0.99438	3.41	0.83	med	49.93	no
white	0.0079	0.05	0.01	0.03	6.9	0.22	0.37	very sweet	0.053	59	178	0.9992	3.37	0.82	low	17.84	yes
white	0.001	0.01	0.07	0.03	6.3	0.25	0.27	sweet	0.054	40	158	0.99378	3.2	0.48	med	26.44	no
white	0.008	0.01	0.05	0.02	7.5	0.32	0.49	very low	0.031	44	109	0.9906	3.07	0.46	standard	18.98	no
white	0.0039	0.06	0.06	0.03	7	0.28	0.36	very low	0.035	8	70	0.9899	3.09	0.46	standard	12.69	no
red	0.048	0.62	0.17	0.3	5.2	0.49	0.26	low	0.09	23	74	0.9953	3.71	0.62	standard	29.72	no
red	0.035	0.61	0.58	0.22	12.6	0.31	0.72	low	0.072	6	29	0.9987	2.88	0.82	low	31.24	yes
white	0.0065	0.06	0.06	0.04	5.7	0.26	0.25	very sweet	0.02	7	57	0.994	3.39	0.37	med	17.65	no
white	0.0021	0.05	0.08	0.02	6.4	0.23	0.35	med	0.039	43	147	0.99216	3.18	0.4	med	19.26	yes
white	0.0069	0.05	0.05	0.06	7.5	0.26	0.31	very low	0.032	36	109	0.99044	2.97	0.43	standard	18.9	no
white	0.0075	0.1	0.01	0.03	6.5	0.3	0.39	sweet	0.038	61	219	0.9959	3.19	0.5	low	25.42	no
white	0.004	0.1	0.02	0.05	6.7	0.33	0.36	sweet	0.042	34	116	0.99123000000000006	2.97	0.31	standard	22.35	yes
white	0.0025	0.06	0.05	0.02	6.9	0.12	0.36	low	0.037	18	111	0.9919	3.41	0.82	standard	15.39	yes
white	0.0059	0.07	0.01	0.01	7	0.26	0.34	very sweet	0.038	25	84	0.99432	3.11	0.34	med	25.84	no
white	0.0084	0.04	0.01	0.06	6.8	0.3	0.33	very sweet	0.041	60	168	0.99659	3.1	0.56	low	26.71	no
white	2e-4	0.05	0.02	0.01	6	0.2	0.24	very low	0.03	30	105	0.9909	3.31	0.47	standard	12.36	no
white	0.0019	0.03	0.01	0.02	4.6	0.445	0	very low	0.053	11	178	0.99426	3.79	0.55	med	18.28	no
red	0.06	0.34	0.26	0.25	6.6	0.705	0.07	very low	0.076	6	15	0.9962	3.44	0.58	med	37.59	no
white	0.0058	0.07	0.01	0.01	7.4	0.22	0.27	very low	0.057	45	98	0.99299	3.29	0.44	low	20.64	yes
red	0.054	0.32	0.56	0.43	7.1	0.59	0	low	0.091	9	14	0.99488	3.42	0.55	standard	30.33	yes
white	0.0063	0.04	0.06	0.01	8.5	0.22	0.34	very low	0.04	5	25	0.9918	3.04	0.37	med	19.11	no
white	0.004	0.03	0.02	0.05	6.7	0.27	0.12	very low	0.041	62	138	0.9921	3.21	0.42	med	25.19	no
white	0.0067	0.06	0.06	0.03	6.6	0.36	0.52	very sweet	0.05	29	140	0.99628	3.07	0.4	low	17.89	no
white	7e-4	0.02	0.02	0.04	6	0.28	0.29	very sweet	0.051	36	174	0.99911	3.14	0.5	low	13.74	no
white	0.005	0.06	0.07	0.02	7	0.27	0.74	very low	0.173	34	121	0.99334	3.04	0.46	low	20.15	no
white	4e-4	0.08	0.03	0.01	6.2	0.22	0.2	very sweet	0.035	58	184	1.00022	3.11	0.53	low	16.09	no
red	0.061	0.19	0.12	0.34	8.2	0.59	0	low	0.093	19	58	1.0002	3.5	0.65	low	28.6	no
white	0.0097	0.01	0.01	0.01	7.6	0.39	0.46	very sweet	0.084	55	170	0.99773	2.91	0.51	low	16.02	no
red	0.067	0.27	0.35	0.33	8.8	0.6	0.29	low	0.098	5	15	0.9988	3.36	0.49	low	36.61	no
white	0.0078	0.06	0.08	0.01	7.8	0.2	0.28	very sweet	0.054	78	186	0.997	3.14	0.46	med	28.64	no
white	0.0097	0.02	0.03	0.03	6.9	0.45	0.27	med	0.035	17	80	0.99058	3.12	0.36	standard	27.75	yes
red	0.041	0.73	0.52	0.42	7.8	0.6	0.26	low	0.08	31	131	0.99622	3.21	0.52	low	16.4	no
white	0.0058	0.06	0.03	0.06	6.2	0.25	0.21	very sweet	0.039	28	159	0.9982	3.48	0.64	low	25.1	no
white	0.0041	0.07	0.07	0.02	7.1	0.2	0.3	very low	0.019	4	28	0.98931	3.2	0.36	standard	28.5	no
red	0.052	0.32	0.46	0.21	11.9	0.4	0.65	low	0.068	7	27	0.9988	3.06	0.68	med	23.74	no
white	0.0058	0.01	0.01	0.01	7	0.23	0.42	very sweet	0.05	35	144	0.9999	3.22	0.42	low	27.85	no
white	0.0089	0.1	0.06	0.02	5.1	0.31	0.3	very low	0.037	28	152	0.992	3.54	0.56	med	25.63	no
white	0.001	0.07	0.05	0.04	6.5	0.28	0.34	low	0.04	29	121	0.99111	3.28	0.48	standard	19.78	yes
red	0.061	0.57	0.41	0.12	10.6	0.36	0.57	low	0.087	6	20	0.99676	3.14	0.72	med	16.55	yes
red	0.042	0.41	0.42	0.42	9.6	0.54	0.42	low	0.081	25	52	0.997	3.2	0.71	med	26.19	no
white	0.0062	0.1	0.04	0.06	6.8	0.19	0.34	very low	0.04	41	108	0.99	3.25	0.45	standard	20.48	no
red	0.039	0.36	0.65	0.4	8.4	0.67	0.19	low	0.093	11	75	0.99736	3.2	0.59	low	13.32	no
white	8e-4	0.01	0.05	0.06	6.2	0.19	0.38	med	0.019	22	82	0.98961	3.05	0.36	standard	27.38	no
white	0.0086	0.05	0.06	0.06	6.6	0.26	0.52	very sweet	0.047	52	191	0.99541	3.16	0.47	low	18.73	no
red	0.06	0.56	0.57	0.39	8.8	0.52	0.34	low	0.087	24	122	0.9982	3.26	0.61	low	34.66	no
white	0.0032	0.07	0.02	0.04	7.6	0.36	0.44	very sweet	0.255	28	142	0.9958	3.12	0.43	med	17.57	no
white	0.0017	0.1	0.04	0.06	6.4	0.14	0.28	sweet	0.057	21	82	0.99425	3.26	0.36	med	20.92	no
white	0.0089	0.07	0.07	0.05	6.5	0.39	0.23	med	0.051	25	149	0.9934	3.24	0.35	med	21.32	no
white	0.0067	0.09	0.01	0.05	5.4	0.29	0.47	low	0.052	47	145	0.993	3.29	0.75	med	22.3	no
red	0.058	0.55	0.41	0.22	8.1	0.725	0.22	low	0.072	11	41	0.9967	3.36	0.55	low	18.73	no
white	0.0043	0.07	0.01	0.02	6.7	0.3	0.5	very sweet	0.045	38	127	0.9974	3.04	0.53	low	25.02	no
white	0.0049	0.07	0.06	0.02	6.2	0.24	0.27	very sweet	0.04	48	129	0.99691	3.23	0.38	med	19.68	no
white	0.0084	0.04	0.02	0.05	6.5	0.31	0.14	sweet	0.044	34	133	0.9955	3.22	0.5	low	25.22	no
white	0.0015	0.04	0.05	0.06	6.8	0.35	0.32	low	0.048	35	103	0.9911	3.28	0.46	standard	23.96	yes
red	0.059	0.45	0.33	0.17	10.2	0.41	0.43	low	0.11	11	37	0.99728000000000006	3.16	0.67	med	17.28	no
white	0.0097	0.01	0.04	0.05	7.2	0.21	0.29	low	0.044	39	122	0.99143	3	0.6	med	18.55	no
white	0.0099	0.05	0.03	0.06	5.7	0.335	0.34	very low	0.04	13	174	0.992	3.27	0.66	med	15.74	no
white	0.0094	0.06	0.07	0.03	7.7	0.49	1	very sweet	0.03	28	135	0.9973	3.24	0.4	standard	18.19	no
white	0.0036	0.06	0.06	0.06	5	0.33	0.16	very low	0.049	10	97	0.9917	3.48	0.44	med	13.96	no
white	0.0063	0.02	0.03	0.03	5.3	0.3	0.16	med	0.029	37	100	0.9905	3.3	0.36	standard	17.49	yes
white	8e-4	0.03	0.08	0.01	6.1	0.27	0.31	very low	0.035	17	83	0.99076	3.32	0.44	med	16.01	yes
red	0.048	0.49	0.11	0.21	7.9	0.545	0.06	med	0.087	27	61	0.9965	3.36	0.67	med	32.39	no
red	0.061	0.83	0.19	0.28	6.3	0.36	0.19	low	0.075	15	39	0.9956	3.56	0.52	standard	36.69	no
red	0.053	0.24	0.13	0.35	9	0.47	0.31	low	0.084	24	125	0.9984	3.31	0.61	low	30.15	no
white	0.0052	0.03	0.06	0.05	7.9	0.14	0.28	very low	0.041	44	178	0.9954	3.45	0.43	low	15.96	no
white	0.0085	0.06	0.07	0.06	6.3	0.2	0.26	very low	0.027	36	141	0.99268	3.53	0.56	med	14.92	no
white	0.0099	0.07	0.04	0.04	6.7	0.16	0.36	low	0.045	24	131	0.99284	3.3	0.59	med	21.1	no
white	0.0051	0.08	0.07	0.01	6.3	0.3	0.24	sweet	0.04	38	141	0.995	3.22	0.47	low	17.37	no
white	0.0048	0.1	0.08	0.01	6.9	0.33	0.26	med	0.027	46	143	0.9924	3.25	0.43	med	25.8	yes
white	0.0079	0.06	0.05	0.02	7.2	0.3	0.3	very sweet	0.022	14	111	0.99576	3.11	0.61	med	27.63	no
red	0.065	0.55	0.34	0.16	7.4	0.52	0.13	low	0.078	34	61	0.99528	3.43	0.59	med	14.25	no
white	2e-4	0.1	0.04	0.03	7	0.23	0.33	med	0.04	25	136	0.995	3.19	0.58	low	20.72	no
red	0.044	0.19	0.16	0.24	7.5	0.58	0.2	low	0.073	34	44	0.99494	3.1	0.43	low	20.63	no
white	0.006	0.06	0.02	0.01	6.7	0.11	0.26	very sweet	0.053	44	95	0.99676	3.2	0.35	low	25.88	no
white	0.0015	0.01	0.07	0.05	6.2	0.32	0.32	low	0.036	15	70	0.9899	3.16	0.48	standard	26.87	no
white	0.0047	0.07	0.08	0.06	9.2	0.28	0.46	low	0.058	39	133	0.996	3.14	0.58	low	15.3	no
red	0.049	0.15	0.54	0.43	7.4	0.35	0.33	low	0.068	9	26	0.9947	3.36	0.6	standard	19.58	no
red	0.052	0.48	0.31	0.15	7.5	0.58	0.56	low	0.153	5	14	0.99476	3.21	1.03	standard	11.81	no
white	0.0025	0.06	0.06	0.03	6	0.24	0.33	low	0.026	31	85	0.99014	3.13	0.5	med	29.66	yes
red	0.036	0.23	0.62	0.3	8.6	0.33	0.4	low	0.083	16	68	0.99782	3.3	0.48	low	21.33	no
white	8e-4	0.05	0.08	0.03	6.3	0.25	0.22	low	0.048	41	161	0.99256	3.16	0.5	med	25.32	no
red	0.036	0.77	0.57	0.38	8.5	0.49	0.11	low	0.084	9	67	0.9968	3.17	0.53	low	23.96	no
