in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,outcome
0.62,3,978.1509171358775,170.90414792602314,316.917,-60.3989,9.49,7.77,11.4281,94.7098,-60.3183,568.3,1,45.4588,136.854,4.74,2,568.262,45.4049,4.74,49.7249,44.9849,0.5741081350715784
0.59,3,331.00855864211917,115.65144351546162,316.926,-60.4216,10.42,8.53,11.9736,99.025,-60.3332,624,1,45.4711,136.854,5.2,2,623.978,45.412,5.2,52.1126,46.9125,0.44940208504663726
0.59,3,769.7331300762016,92.86132610648076,316.926,-60.4239,10.52,8.6,12.0282,99.4526,-60.3347,629.7,1,45.4723,136.854,5.25,2,629.693,45.4126,5.25,52.3514,47.1013,0.43319703941096377
0.58,3,886.2816664401907,141.10971259223223,316.93,-60.4331,10.9,8.92,12.2462,101.172,-60.3406,652.8,1,45.4771,136.854,5.44,2,652.798,45.4153,5.44,53.3062,47.8659,0.3676199537383889
1.31,5,753.8340115800966,176.3530291326544,316.866,-59.7777,5.01,4.1,8.30976,105.806,-60.2336,300,2,45.3841,136.854,2.5,3,300,44.9192,2.5,36.1021,33.602,0.9204982078922079
1.26,5,308.41773588885553,112.59880137778998,136.872,-59.7737,5.42,4.43,8.63872,109.911,-60.2425,324.3,2,45.3923,136.854,2.7,3,324.272,44.9079,2.7,37.537,34.837,0.8808118315707572
1.18,5,590.1607371068094,145.96783594547145,136.881,-59.7683,6.13,5.01,9.18652,116.725,-60.2573,366.8,2,45.4058,136.854,3.06,3,366.803,44.8885,3.06,39.9284,36.8684,0.8169257406768989
1.16,5,414.09540941752493,117.09378581594855,316.883,-59.7667,6.35,5.19,9.35091,118.766,-60.2618,380.1,2,45.4099,136.854,3.17,3,380.073,44.8826,3.17,40.6456,37.4755,0.8011116653602224
1.15,5,515.2071893266402,102.21969910603907,136.884,-59.7659,6.42,5.25,9.40552,119.454,-60.2633,384.5,2,45.4113,136.854,3.2,3,384.542,44.8808,3.2,40.8847,37.6848,0.7965972100512114
0.64,3,299.1935049549211,110.77743371317264,316.911,-60.383,8.86,7.25,11.0459,91.6861,-60.3078,530.8,1,45.4501,136.854,4.42,2,530.79,45.3999,4.42,48.0532,43.6331,0.6413068808850182
0.64,3,770.4825640898198,136.91706190617325,316.912,-60.3875,9.04,7.4,11.1551,92.5513,-60.3108,541.4,1,45.4526,136.854,4.51,2,541.369,45.4013,4.51,48.5309,44.0207,0.6240695195302194
0.61,3,825.7104975886177,172.0408830514671,316.92,-60.4078,9.86,8.07,11.6464,96.4396,-60.3242,590.2,1,45.4637,136.854,4.92,2,590.238,45.4078,4.92,50.6801,45.7598,0.5269182101648431
0.59,3,475.9345587026328,119.11864405201072,316.926,-60.4215,10.42,8.53,11.9736,99.025,-60.3331,624,1,45.4711,136.854,5.2,2,623.978,45.412,5.2,52.1126,46.9125,0.4498200188359101
0.57,3,213.21782752126455,127.92233907174374,316.934,-60.4424,11.29,9.24,12.4642,102.881,-60.3465,676.3,1,45.4818,136.854,5.64,2,676.319,45.4178,5.64,54.2609,48.6207,0.29262106116663233
1.42,5,741.2754638777114,164.91803389892416,316.856,-59.786,4.31,3.52,7.70635,98.2611,-60.2172,257.9,2,45.3687,136.854,2.15,3,257.935,44.9396,2.15,33.4705,31.3204,0.9902141862520971
1.34,5,726.056538800709,133.6768541837217,316.864,-59.7797,4.81,3.94,8.14529,103.754,-60.2291,288.2,2,45.3799,136.854,2.4,3,288.217,44.9249,2.4,35.3845,32.9845,0.9408344423665455
0.72,3,390.5527074241545,106.42006622959762,316.891,-60.3348,7.04,5.76,9.84341,82.0833,-60.275,421.3,1,45.4218,136.854,3.51,2,421.266,45.3819,3.51,42.7968,39.2867,0.6728059920534802
0.66,3,458.85494574159384,155.72919230807344,316.905,-60.3696,8.34,6.83,10.7182,89.0798,-60.2988,499.7,1,45.4425,136.854,4.16,2,499.681,45.3952,4.16,46.6199,42.4599,0.6641064209652539
0.64,3,665.355909248814,106.4346425183865,316.912,-60.3874,9.04,7.4,11.1551,92.5513,-60.3107,541.4,1,45.4526,136.854,4.51,2,541.369,45.4013,4.51,48.5309,44.0207,0.6242698195951243
0.58,3,274.75291776959784,129.54570695750598,316.927,-60.4261,10.61,8.68,12.0827,99.88,-60.336,635.4,1,45.4734,136.854,5.3,2,635.432,45.4132,5.3,52.5901,47.29,0.4190026982729898
0.57,3,271.25320937111974,137.3874596337911,316.934,-60.4423,11.29,9.24,12.4642,102.881,-60.3464,676.3,1,45.4818,136.854,5.64,2,676.319,45.4178,5.64,54.2609,48.6207,0.2931757382694461
0.56,3,135.87362555996515,153.32837956921657,316.934,-60.4446,11.39,9.32,12.5187,103.309,-60.3479,682.3,1,45.483,136.854,5.69,2,682.265,45.4184,5.69,54.4996,48.8093,0.27595763653627264
1.37,5,391.20783509965986,150.5652933486662,316.861,-59.7822,4.62,3.78,7.98078,101.69,-60.2246,276.7,2,45.3757,136.854,2.31,3,276.668,44.9303,2.31,34.6668,32.3568,0.9617946885815483
1.35,5,421.3704407864716,87.72204639771418,136.863,-59.7805,4.75,3.89,8.09045,103.066,-60.2275,284.3,2,45.3785,136.854,2.37,3,284.341,44.9267,2.37,35.1452,32.7753,0.948000947573384
1.3,5,395.84606952406466,92.19625844534204,136.867,-59.7767,5.08,4.15,8.36458,106.494,-60.2349,304,2,45.3855,136.854,2.53,3,303.98,44.9174,2.53,36.3413,33.8114,0.9156062639993376
1.29,5,916.3521428348031,115.65461838782358,136.868,-59.7764,5.14,4.21,8.41942,107.171,-60.2364,308,2,45.3868,136.854,2.57,3,307.987,44.9154,2.57,36.5805,34.0105,0.9074401844301369
1.29,5,544.4635060187429,156.96653830763753,316.869,-59.7755,5.21,4.26,8.47427,107.859,-60.2379,312,2,45.3882,136.854,2.6,3,312.02,44.9136,2.6,36.8197,34.2197,0.9016545940938446
1.16,5,862.6692083158996,128.7969796096621,316.883,-59.7666,6.35,5.19,9.35091,118.766,-60.2616,380.1,2,45.4098,136.854,3.17,3,380.073,44.8826,3.17,40.6456,37.4755,0.8010423307223709
0.65,3,350.10911672888324,157.96647789078085,316.909,-60.3785,8.69,7.11,10.9367,90.8109,-60.3047,520.3,1,45.4475,136.854,4.34,2,520.32,45.3982,4.34,47.5755,43.2354,0.6521096026547463
0.59,3,65.39294691034593,184.97990151730124,316.927,-60.4237,10.52,8.6,12.0281,99.4526,-60.3344,629.7,1,45.4722,136.854,5.25,2,629.689,45.4126,5.25,52.3514,47.1013,0.43481677358966603
1.32,5,769.3592039702926,122.32211255182742,136.866,-59.7783,4.94,4.05,8.25492,105.119,-60.2319,296,2,45.3826,136.854,2.47,3,296.046,44.921,2.47,35.8629,33.393,0.9280344978342556
0.74,3,945.4638138089795,105.96648912989248,316.888,-60.3262,6.73,5.5,9.62452,80.3216,-60.2689,402.7,1,45.4165,136.854,3.36,2,402.697,45.3783,3.36,41.8407,38.4808,0.6702964633556812
0.72,3,903.6868117412087,148.15367267780704,316.892,-60.3368,7.11,5.82,9.89807,82.5215,-60.2764,426,1,45.4231,136.854,3.55,2,425.972,45.3827,3.55,43.0358,39.4858,0.6730717748319117
0.72,3,191.33548253728077,134.86972636065033,316.893,-60.339,7.19,5.89,9.95274,82.9594,-60.2778,430.7,1,45.4244,136.854,3.59,2,430.703,45.3836,3.59,43.2748,39.6847,0.6739731251239839
0.68,3,280.1924843159504,101.42770307890538,316.9,-60.3563,7.84,6.42,10.3902,86.4628,-60.2897,469.5,1,45.4348,136.854,3.91,2,469.497,45.3904,3.91,45.1864,41.2764,0.6783566150059418
0.66,3,560.1862285598181,169.1850583825646,316.905,-60.3694,8.34,6.83,10.7182,89.0798,-60.2986,499.7,1,45.4425,136.854,4.16,2,499.681,45.3952,4.16,46.6199,42.4599,0.6640062709328013
0.65,3,957.8773976617958,126.67571834118556,316.91,-60.3806,8.78,7.18,10.9913,91.2485,-60.3061,525.5,1,45.4488,136.854,4.38,2,525.541,45.399,4.38,47.8144,43.4343,0.6468748374969425
0.64,3,337.37697962182574,143.06399571665415,316.912,-60.3872,9.04,7.4,11.1551,92.5513,-60.3105,541.4,1,45.4526,136.854,4.51,2,541.369,45.4013,4.51,48.5309,44.0207,0.6247281985898107
0.63,3,459.54055415745825,163.31797516442919,316.914,-60.3917,9.22,7.54,11.2642,93.4166,-60.3135,552,1,45.4551,136.854,4.6,2,552.043,45.4028,4.6,49.0084,44.4083,0.6077508421269557
0.62,3,145.7975100139156,165.0124561068448,316.918,-60.4007,9.58,7.84,11.4826,95.1472,-60.3195,573.7,1,45.46,136.854,4.78,2,573.713,45.4057,4.78,49.9637,45.1836,0.5438782329682353
0.6,3,561.6088522020727,112.52778373842358,316.921,-60.4097,9.95,8.14,11.7009,96.8776,-60.3254,595.8,1,45.465,136.854,4.96,2,595.797,45.4087,4.96,50.9189,45.9588,0.5183168631469067
0.59,3,95.98325903201476,85.76946472513383,316.927,-60.4236,10.52,8.6,12.0281,99.4526,-60.3343,629.7,1,45.4722,136.854,5.25,2,629.689,45.4126,5.25,52.3514,47.1013,0.43533485741139144
0.57,3,967.1111627563369,129.1248577266256,316.932,-60.4374,11.1,9.08,12.3553,102.027,-60.3433,664.5,1,45.4795,136.854,5.54,2,664.514,45.4165,5.54,53.7835,48.2433,0.3323382528826839
0.57,3,428.62972522177733,115.24144223894756,316.934,-60.4421,11.29,9.24,12.4642,102.881,-60.3463,676.3,1,45.4818,136.854,5.64,2,676.319,45.4178,5.64,54.2609,48.6207,0.2942677588156104
0.56,3,600.2585249019321,124.69820244875702,316.935,-60.4468,11.49,9.4,12.5732,103.736,-60.3493,688.2,1,45.4842,136.854,5.74,2,688.237,45.419,5.74,54.7382,48.9981,0.2596871081870726
1.36,5,595.7410101322457,98.27467102298249,316.862,-59.7811,4.68,3.83,8.03551,102.378,-60.2259,280.5,2,45.3771,136.854,2.34,3,280.487,44.9285,2.34,34.906,32.566,0.9184143168323317
0.66,3,546.8685803031549,177.51584860942557,316.905,-60.3693,8.34,6.83,10.7182,89.0798,-60.2985,499.7,1,45.4425,136.854,4.16,2,499.681,45.3952,4.16,46.6199,42.4599,0.6639677516895505
0.63,3,366.07061815983616,127.52726052676478,316.913,-60.3895,9.13,7.47,11.2097,92.9793,-60.3119,546.7,1,45.4538,136.854,4.56,2,546.697,45.4019,4.56,48.7697,44.2097,0.6153352811230672
0.62,3,7.40220114402473,124.86396062881823,316.916,-60.3962,9.4,7.69,11.3735,94.2818,-60.3164,562.8,1,45.4575,136.854,4.69,2,562.83,45.4042,4.69,49.4861,44.7959,0.5853653839116677
1.29,5,390.8098479867913,129.42180354824563,316.869,-59.7753,5.21,4.26,8.47427,107.859,-60.2376,312,2,45.3882,136.854,2.6,3,312.02,44.9136,2.6,36.8197,34.2197,0.9018028931803607
1.27,5,490.009286853252,136.82877563846284,316.871,-59.7741,5.35,4.37,8.58393,109.224,-60.2406,320.2,2,45.3909,136.854,2.67,3,320.163,44.9097,2.67,37.2979,34.628,0.8876124039667117
0.73,3,468.1220822627656,122.29614041754479,316.89,-60.3323,6.96,5.69,9.78874,81.6455,-60.2732,416.6,1,45.4205,136.854,3.47,2,416.587,45.381,3.47,42.5578,39.0877,0.6701712758151154
0.72,3,454.29296176182106,147.2130883061123,316.892,-60.3366,7.11,5.82,9.89807,82.5215,-60.2762,426,1,45.4231,136.854,3.55,2,425.972,45.3827,3.55,43.0358,39.4858,0.672492060220985
0.63,3,440.33912130468525,136.7654691213602,316.913,-60.3894,9.13,7.47,11.2097,92.9793,-60.3119,546.7,1,45.4538,136.854,4.56,2,546.697,45.4019,4.56,48.7697,44.2097,0.6155875821663609
0.62,3,924.4573362774681,115.28277727444791,316.916,-60.3961,9.4,7.69,11.3735,94.2818,-60.3163,562.8,1,45.4575,136.854,4.69,2,562.83,45.4042,4.69,49.4861,44.7959,0.5856215368792866
0.6,3,733.1634542606771,159.52163499946593,316.921,-60.4096,9.95,8.14,11.7008,96.8776,-60.3252,595.8,1,45.465,136.854,4.96,2,595.791,45.4086,4.96,50.9189,45.9588,0.5190506547308371
0.59,3,493.23162594484165,152.5217414748591,316.926,-60.4211,10.42,8.53,11.9736,99.025,-60.3327,624,1,45.471,136.854,5.2,2,623.978,45.412,5.2,52.1126,46.9125,0.4518442050687474
0.56,3,683.5028070244007,114.47149779566075,316.935,-60.4466,11.49,9.4,12.5732,103.736,-60.3491,688.2,1,45.4842,136.854,5.74,2,688.237,45.419,5.74,54.7382,48.9981,0.26070209024673513
0.56,3,67.81838464969769,197.9568110865349,316.937,-60.4513,11.69,9.57,12.6822,104.591,-60.3521,700.3,1,45.4866,136.854,5.84,2,700.257,45.4202,5.84,55.2156,49.3754,0.22564187503972308
1.42,5,171.57606379734352,142.68932254054354,316.856,-59.7856,4.31,3.52,7.70636,98.2611,-60.2168,257.9,2,45.3687,136.854,2.15,3,257.935,44.9395,2.15,33.4705,31.3204,0.990354781489963
1.24,5,934.3161347263958,103.81002031201443,316.874,-59.7716,5.62,4.6,8.80323,111.954,-60.2464,336.8,2,45.3963,136.854,2.81,3,336.763,44.902,2.81,38.2545,35.4446,0.8588077138636535
1.15,5,106.63459075754508,164.0280343847804,136.884,-59.7654,6.42,5.25,9.40552,119.454,-60.2627,384.5,2,45.4112,136.854,3.2,3,384.54,44.8808,3.2,40.8845,37.6846,0.7962582407106031
0.75,3,206.94857924501412,144.58858376979,316.886,-60.3216,6.57,5.38,9.51507,79.4453,-60.2657,393.6,1,45.4138,136.854,3.28,2,393.568,45.3766,3.28,41.3626,38.0827,0.6630336600407148
0.73,3,536.7614648416638,119.95058969711823,316.889,-60.3301,6.88,5.63,9.7340699999999991,81.2073,-60.2716,411.9,1,45.4192,136.854,3.43,2,411.934,45.3802,3.43,42.3188,38.8886,0.6683339079120454
0.73,3,24.74601649097167,37.31755025567662,316.89,-60.3322,6.96,5.69,9.78874,81.6455,-60.2731,416.6,1,45.4205,136.854,3.47,2,416.587,45.381,3.47,42.5578,39.0877,0.6698631218691079
0.7,3,397.15496588195674,103.93427320887844,316.896,-60.3452,7.43,6.08,10.1169,84.2734,-60.282,445.1,1,45.4283,136.854,3.71,2,445.06,45.3861,3.71,43.9917,40.2817,0.6792290758655756
0.7,3,555.8526738202199,114.85933183163343,316.897,-60.3495,7.59,6.21,10.2262,85.1495,-60.285,454.8,1,45.4309,136.854,3.79,2,454.757,45.3878,3.79,44.4697,40.6797,0.6796604913899862
0.68,3,380.8766293406952,169.19084286671594,316.902,-60.3605,8.01,6.55,10.4996,87.3282,-60.2924,479.5,1,45.4373,136.854,4,2,479.456,45.3918,4,45.6642,41.6641,0.6751479620431378
0.65,3,972.8625279113185,124.00682862124712,316.909,-60.3782,8.69,7.11,10.9367,90.8109,-60.3043,520.3,1,45.4475,136.854,4.34,2,520.32,45.3981,4.34,47.5755,43.2354,0.6519901930006683
0.64,3,569.2682075707708,133.06658849769616,316.911,-60.3825,8.86,7.25,11.0458,91.6862,-60.3073,530.8,1,45.4501,136.854,4.42,2,530.785,45.3998,4.42,48.0532,43.6331,0.6422043792527652
0.63,3,62.25492668780498,176.49399484126852,316.913,-60.3893,9.13,7.47,11.2098,92.9793,-60.3118,546.7,1,45.4537,136.854,4.56,2,546.697,45.4019,4.56,48.7697,44.2097,0.6158052158907288
0.58,3,551.9753569129389,136.71429921105886,316.929,-60.4302,10.8,8.84,12.1917,100.745,-60.3386,647,1,45.4759,136.854,5.39,2,646.983,45.4147,5.39,53.0675,47.6773,0.3884357527912008
1.26,5,985.5153029432986,120.49540646342639,136.872,-59.7731,5.42,4.43,8.63872,109.911,-60.2419,324.3,2,45.3923,136.854,2.7,3,324.272,44.9079,2.7,37.5371,34.837,0.8809774643167363
1.21,5,296.6585129327141,109.97057627734232,316.877,-59.7695,5.84,4.78,8.9674,114.006,-60.2508,349.5,2,45.4005,136.854,2.91,3,349.477,44.8964,2.91,38.9719,36.062,0.8404783319626904
0.76,3,235.50722905015573,112.63726938736448,316.885,-60.3193,6.5,5.32,9.46025,79.0071,-60.2641,389,1,45.4125,136.854,3.24,2,389.039,45.3757,3.24,41.1236,37.8836,0.5603240238742271
0.75,3,149.07672055531293,175.25424115559804,316.887,-60.3237,6.65,5.44,9.56974,79.8834,-60.2671,398.1,1,45.4151,136.854,3.32,2,398.118,45.3774,3.32,41.6017,38.2817,0.6659630484899494
0.71,3,970.7905763781164,153.53038548414543,316.895,-60.343,7.35,6.02,10.0622,83.8354,-60.2805,440.2,1,45.427,136.854,3.67,2,440.248,45.3853,3.67,43.7528,40.0827,0.6784818025465074
0.69,3,564.6175524946302,145.22991904460403,316.899,-60.3538,7.76,6.35,10.3356,86.0246,-60.2879,464.6,1,45.4335,136.854,3.87,2,464.557,45.3895,3.87,44.9474,41.0773,0.6778327532977289
0.68,3,123.14773548627272,127.65080430863645,316.9,-60.3559,7.84,6.42,10.3902,86.4628,-60.2894,469.5,1,45.4348,136.854,3.91,2,469.497,45.3903,3.91,45.1865,41.2764,0.6775111176165833
0.62,3,918.9650787408464,115.39890407750914,316.917,-60.3982,9.49,7.76,11.4281,94.7098,-60.3176,568.3,1,45.4587,136.854,4.74,2,568.259,45.4048,4.74,49.7249,44.9849,0.5760822462881896
0.6,3,872.9972005956806,133.00775704616703,316.923,-60.4141,10.14,8.29,11.81,97.7326,-60.3281,607,1,45.4674,136.854,5.06,2,606.989,45.4099,5.06,51.3964,46.3363,0.4918656988064813
0.58,3,640.6903622061945,104.98235308139999,316.93,-60.4324,10.9,8.92,12.2461,101.172,-60.34,652.8,1,45.4771,136.854,5.44,2,652.795,45.4153,5.44,53.3061,47.8659,0.37181662529057963
0.57,3,988.8381180292927,187.81173840153255,316.932,-60.4371,11.1,9.08,12.3554,102.027,-60.3429,664.5,1,45.4794,136.854,5.54,2,664.514,45.4165,5.54,53.7835,48.2433,0.33417947271007914
0.55,3,881.4052786682732,179.01027766531078,316.94,-60.4581,12,9.82,12.8456,105.873,-60.3564,718.5,1,45.4901,136.854,5.99,2,718.472,45.4221,5.99,55.9315,49.9413,0.1737737880401602
1.44,5,590.6849707416259,123.99448796749346,316.855,-59.7871,4.19,3.42,7.59652,96.8859,-60.2137,250.6,2,45.3658,136.854,2.09,3,250.623,44.9431,2.09,32.9919,30.902,0.9990408708430516
1.38,5,141.698781873798,214.97782152012587,316.86,-59.782,4.56,3.73,7.92594,101.013,-60.2226,272.9,2,45.3743,136.854,2.27,3,272.871,44.9323,2.27,34.4276,32.1575,0.9707908578428068
1.16,5,358.52698719641194,87.4829253490496,316.883,-59.7661,6.35,5.19,9.35092,118.767,-60.2611,380.1,2,45.4098,136.854,3.17,3,380.074,44.8826,3.17,40.6456,37.4755,0.8007938816034021
0.68,3,853.054031582782,145.55629258146482,316.902,-60.3603,8.01,6.55,10.4996,87.3282,-60.2923,479.5,1,45.4373,136.854,4,2,479.456,45.3918,4,45.6643,41.6641,0.6749823292971586
0.65,3,219.09094526828267,131.69620844018374,316.908,-60.3757,8.6,7.04,10.8819,90.3831,-60.3027,515.1,1,45.4463,136.854,4.29,2,515.112,45.3975,4.29,47.3366,43.0466,0.6562600511150358
0.57,3,868.6421511110384,136.73400891626835,316.931,-60.4347,11,9,12.3007,101.599,-60.3414,658.6,1,45.4782,136.854,5.49,2,658.639,45.4159,5.49,53.5448,48.0547,0.3419738415819083
1.29,5,38.50430690450594,165.6705789134967,316.869,-59.7749,5.21,4.26,8.47427,107.859,-60.2373,312,2,45.3881,136.854,2.6,3,312.019,44.9135,2.6,36.8195,34.2195,0.9019608220776897
1.21,5,718.3630326411221,166.6412457135138,316.877,-59.7693,5.84,4.78,8.96741,114.006,-60.2506,349.5,2,45.4004,136.854,2.91,3,349.477,44.8964,2.91,38.972,36.062,0.8404167011734888
0.75,3,57.47588719846681,157.42061227315946,316.887,-60.3235,6.65,5.44,9.5698,79.8832,-60.2669,398.1,1,45.4151,136.854,3.32,2,398.12,45.3774,3.32,41.6017,38.2816,0.6629874369488139
0.69,3,52.282133164582774,212.38750079214563,316.898,-60.3514,7.68,6.28,10.2809,85.5868,-60.2862,459.6,1,45.4322,136.854,3.83,2,459.646,45.3886,3.83,44.7085,40.8784,0.6776613426652621
0.68,3,484.31980727566406,146.17205651639733,316.901,-60.3579,7.92,6.48,10.4449,86.9004,-60.2907,474.5,1,45.4361,136.854,3.95,2,474.465,45.3912,3.95,45.4254,41.4752,0.6766271009839742
0.66,3,496.4057374447584,144.85612247899053,316.906,-60.3713,8.43,6.9,10.7727,89.5075,-60.2996,504.8,1,45.443600000000004,136.854,4.21,2,504.798,45.3958,4.21,46.8589,42.6488,0.5266505014242491
0.62,3,376.45498942630365,147.10741018201503,316.917,-60.3981,9.49,7.77,11.4281,94.7096,-60.3175,568.3,1,45.4587,136.854,4.74,2,568.261,45.4048,4.74,49.7248,44.9848,0.5765887743369396
0.59,3,754.5254538077861,127.558331329373,316.926,-60.4207,10.42,8.53,11.9736,99.025,-60.3323,624,1,45.471,136.854,5.2,2,623.979,45.4119,5.2,52.1127,46.9125,0.45335801132850956
0.59,3,324.2800755703356,90.90197573511212,316.927,-60.4231,10.52,8.6,12.028,99.4526,-60.3338,629.7,1,45.4722,136.854,5.25,2,629.684,45.4125,5.25,52.3514,47.1013,0.43827580163360114
0.57,3,177.48266507452354,142.6962366368304,316.933,-60.4416,11.29,9.24,12.4642,102.881,-60.3458,676.3,1,45.4818,136.854,5.64,2,676.32,45.4177,5.64,54.2609,48.6207,0.2972395184324209
